1NDDPI, 1998
43
21
1 Type
3 PK Enroll
4 K Enroll
4 1-6 Enroll
4 7-8 Enroll
4 9-12 Enroll
5 PK-12 Enroll
6 Avg PK Member
7 Avg K Member
7 Avg 1-6 Member
7 Avg 7-8 Member
7 Avg 9-12 Member
9 Avg PK-12 Member
4 91 Census 0-5
5 91 Census 6-17
4 93 Census 0-5
5 93 Census 6-17
4 95 Census 0-5
5 95 Census 6-17
9 Tax Val
9 Tax Val / Pupil
6 G F Mill Levy
6 Tot Mill Levy
9 Tot Revenue
9 Fund Group 1 Exp
8 Avg Cost / Pupil
5 PK Teachers
5 K Teachers
6 1-6 Teachers
6 7-8 Teachers
6 9-12 Teachers
3 Bus Routes
5 Pupils Transport
8 Tot Mileage
4 81 Census 0-5
5 81 Census 6-17
4 87 Census 0-5
5 87 Census 6-17
3 Number Buses
10Transport Exp
4 97 Census 0-5
5 97 Census 6-17
232
10019Munich 19       1000000700740021004900151000.000014.000072.000026.000052.00000164.00006100177006500160006900151003023683020430.29143.86152.4600097703900094829204458.7100.0000.50004.80001.71004.2800800211069052.00133002550069001820070083859.89006200148
10023Langdon 23      1004003202630096023300628005.000037.820273.670099.970246.91000663.37031100706028500688023900659009224158013829.32174.47174.4700322754100323296804104.1600.4001.00014.00004.47009.7801000282184747.50278008300284007030160238885.56019200667
10030Milton 30       1000000000000011002100032000.000000.000000.000012.960022.00000034.96002100048001500034000900027001022286030978.36153.97165.7600027014200032379007580.9500.0000.00000.00001.51003.3800100022020068.00041000760021000430030025921.22001000033
11040Ellendale 40    1000003401940067012200417000.000031.520192.900069.860134.73000429.01015500420020600454017800453005262228011268.15151.39194.0900195479600193678903688.9900.0001.00011.43004.28009.0000600173114840.00255004680211004260090130574.00012900467
11041Oakes 41        1003003402370085019100550006.480047.620236.790092.080187.35000570.32018900552017600549021000520006003066012301.36173.52197.0200239692000236112203191.5000.0001.00012.14004.44009.2001000279126638.00328006800230006260110150575.56020500488
12001Divide County 1 1000002101730054014300391000.430020.820172.890066.980144.39000405.51014800432013500439011300432006276422016134.76140.63152.2200215299100216049304769.7600.1000.95010.00003.95008.5501000450180093.00262004920191004730230176381.22010200389
13008Dodge 8         2000001100610000000000072000.000008.100060.450000.000000.00000068.55002300046001800045002000043000534588012149.73169.29189.7700039624600035930004341.6700.0000.50005.00000.00000.0000200043035292.00035000900029000470020024544.78002200044
13016Killdeer 16     1000002401550060014200381000.040019.880161.340073.570145.58000400.41017700411014600424014900395005724062014491.30145.00163.4500206886500209296704518.8300.0001.00008.59003.16008.6200800262134178.80237004060188004260110161894.56013600395
13019Halliday 19     1000000800360018004300105000.000000.000050.540019.800041.20000111.54004900133003900128003600104001659085014553.38150.69163.5700072518400069445105491.5100.0000.50003.00002.00005.0000500058068246.00065001640058001660070055806.56002600114
13037Twin Buttes 37  2000001100320008000000051   .      .      .      .      .        .  003700067003600066003200071000020106000319.14000.00000.0000000000000000000000000.0000.0001.00004.00001.00000.0000000000000000.00029000960038000750040000719.89002600063
