2NDDPI, 1998
13
31
1 Type
3 PK Enroll
3 K Enroll
3 1-6 Enroll
3 7-8 Enroll
4 9-12 Enroll
5 PK Teacher
6 K Teacher
6 1-6 Teacher
6 7-8 Teacher
6 9-12 Teacher
3 Rooms
428
4580Jeannette Myhre Elem School1000071362000000000.00002.00018.50000.00000.00025
4598Jefferson Elem School      1000059198000000000.00001.50012.00000.00000.00016
4600Jefferson Elem School      1000034269000000000.00001.00012.00000.00000.00019
4601Jefferson Elem School      1021045271000000001.00001.00016.00000.00000.00022
4602Jefferson Elem School      1000026099000000000.00001.00005.00000.00000.00011
4604William S Gussner Elem Scho1029045216000000001.00001.00012.00000.00000.00018
4645Jim Hill Middle School     2000000208454000000.00000.00009.00019.00000.00037
4677Johnsons Corners Elem Schoo1000004029000000000.00000.33003.00000.00000.00006
4781Golden Valley High School  5000000000022005400.00000.00000.00001.95004.34009
4878Kenmare Elem School        1000024156000000000.00001.00009.50000.00000.00011
4882Kenmare High School        5000000000062014700.00000.00000.00003.50009.50019
4892Kensal Public School       5000007047015002900.00000.30003.91001.12004.50017
4927Killdeer Public School     5000024155060014200.00001.00008.59003.16008.62039
4932Eagles Kindergarten Center 1000433000000000000.00010.50000.00000.00000.00012
4933Kindred Public School      5000000247104022700.00000.00012.00004.43012.60043
5055Mt Pleasant Elem School    1002032178000000000.50001.00011.50000.00000.00016
5068Kulm High School           5000000000024007000.00000.00000.00001.63004.58010
5071L E Berger Elem School     1000000452000000000.00000.00022.00000.00000.00024
5072Kulm Elem School           1000012065000000000.00000.50005.53000.00000.00009
5090West Fargo Middle School   2000000000793000000.00000.00000.00036.05000.00046
5125Lake Agassiz Elem School   1000084422000000000.00002.00021.00000.00000.00026
5136Lakota High School         5000000000047008900.00000.00000.00002.35006.79019
5137Lakota Elem School         1004011143000000001.00001.00007.00000.00000.00011
5144LaMoure Colony School      9000002020005000000.00000.10000.70000.20000.00002
5145LaMoure Public School      5004017147075011500.00000.50009.50004.00006.50026
5153Langdon High School        5000000000096023300.00000.00000.00004.47009.78027
5154Langdon Elem School        1004032263000000000.40001.00014.00000.00000.00030
5156Lankin Elem School         1000000071000000000.00000.00006.05000.00000.00009
5159Lansford Elem School       1000006041000000000.00000.50003.50000.00000.00009
5163Larimore Elem School       1006034245000000000.00001.00012.00000.00000.00019
5169Larimore High School       5000000000108020600.00000.00000.00003.59009.55024
5184Leeds Public School        5001013093039008900.00000.60005.75001.61006.11021
5222Lewis and Clark Elem School1000000631000000000.00000.00028.00000.00000.00029
5225Lewis and Clark Elem School1000042251000000000.00001.00015.00000.00000.00020
5228Lewis and Clark Elem School1000074413000000000.00002.00018.00000.00000.00021
5231Lewis and Clark Elem School1000040239000000000.00001.00012.50000.00000.00016
5260Lidgerwood Public School   5002019118050009300.00000.50008.43002.57006.57020
5262Burke Central Public School5000007046024005800.00000.50007.83002.20007.37015
5268Lincoln Elem School        1000027150000000000.00001.00007.00000.00000.00012
5276Prairie Rose Elem School   1000031175000000000.00001.00010.00000.00000.00013
5277Lincoln Elem School        1000000650000000000.00000.00030.00000.00000.00037
5278Lincoln Elem School        1000021129000000000.00000.60008.14000.00000.00014
5282Lincoln Elem School        1000040271000000000.00001.00012.00000.00000.00018
5284Lincoln Elem School        1000023178000000000.00000.50009.00000.00000.00015
5288Linton Public School       5002034168059011700.10001.00009.00003.00009.00040
5290Lisbon Elem School         1000037188000000000.00001.00012.00000.00000.00016
5293Lisbon Middle School       1000000104117000000.00000.00005.00005.50000.00016
5296Lisbon High School         3000000000000025400.00000.00000.00000.00013.57020
5298Litchville-Marion Elem Scho1000009092000000000.00000.50008.80000.00000.00014
5320McClusky Elem School       1000007062000000000.00000.50006.50000.00000.00009
5324Longfellow Elem School     1000060460000000000.00001.50020.00000.00000.00028
5326Longfellow Elem School     1000038204000000000.00001.00010.00000.00000.00012
5330Louis L'Amour Elem School  1000015110000000000.00000.50006.20000.00000.00009
5335Luther Hall                0000000003005000900.00000.00000.30000.20000.50001
5435Madison Elem School        1000057210000000000.00001.50012.00000.00000.00018
5446North Shore High School    5000000000016003700.00000.00000.00002.00002.78008
5452Manchester House           0000000006002000000.00000.00000.50000.50000.00001
5453Mandan High School         3000000000000127700.00000.00000.00000.00056.67061
5457Mandan Jr High School      2000000000556000000.00000.00000.00025.00000.00032
5459Mandaree Public School     5000019108044007500.00001.00009.00002.00007.00018
5466Manning School             9000000009007000000.00000.00000.95000.95000.00001
5471Mantador Elem School       1000002021000000000.00000.50003.00000.00000.00004
5473Manvel Elem School         1002030136056000000.00001.00007.61003.22000.00017
5479Mapleton Elem School       1000018087000000000.00000.50006.00000.00000.00010
5481Maple River Elem School    1000000022012000000.00000.00001.43000.57000.00002
5483Litchville-Marion High Scho5000000000038008900.00000.00000.00003.66008.25016
5486Marmarth Elem School       1000004014005000000.00000.25002.08000.67000.00003
5519Max Public School          5001009085027005600.00000.50005.86002.28004.64019
5526May-Port CG High School    3000000000000024600.00000.00000.00000.00012.64024
5527May-Port CG Middle School  2000000052128000000.00000.00002.00007.34000.00008
5532McClusky High School       5000000000027005400.00000.00000.00002.32006.78015
5606Watford City High School   5000000000116022800.00000.00000.00005.72013.13042
5607Watford City Elem School   1000046237000000000.00001.50014.00000.00000.00033
5608McKenzie School            9000002006001000000.00000.50000.50000.50000.00002
5610McKinley Elem School       1012019091000000001.00000.50005.00000.00000.00010
5625McKinley Elem School       1000063286000000000.00001.50013.00000.00000.00020
5629McVay Elem School          1000018088000000000.00000.50007.00000.00000.00012
5641Dakota Prairie Elem School 1000017174000000000.00001.00010.00000.00000.00015
5657Medina Public School       5000014096031005800.00001.00007.50002.13004.11018
5660Memorial Jr High School    2000000000222000000.00000.00000.00009.00000.00020
5666Menoken Elem School        1000000028011000000.00000.00003.00001.00000.00004
5707Midway Public School       5000027153053011000.00001.00005.00003.50008.50027
5719Milnor Public School       5000026122050007400.13001.00005.79001.71004.35024
5725Milton-Osnabrock High Schoo5000000000011002100.00000.00000.00001.51003.38012
5741Minnewaukan Public School  5000008069020004200.00000.50006.27001.50003.40013
5743Minnie H Elem School       1000023118000000000.00000.50006.00000.00000.00013
5746North Plains Elem School   1012099466000000002.00002.50022.00000.00000.00038
5750Central Campus School      3000000000000110500.00000.00000.00000.00057.70088
5752Magic City Campus High Scho3000000000000112200.00000.00000.00000.00056.30080
5759Minto Public School        5000020136045008500.00001.00010.50002.00007.50017
5778Mohall Public School       5009012102059012400.40000.60006.00002.91008.72028
5794Montpelier Public School   5000008071022005100.00000.50006.00001.26004.13017
5858Mott Public School         5003013106031009200.00000.50006.00002.25005.50035
5895Munich Public School       5000007074021004900.00000.50004.80001.71004.28019
5971New Rockford Public School 5005030186054013801.00001.00010.00003.50010.50029
5977Napoleon Public School     5000018125042008300.20000.50007.00001.96006.61036
5980Nash Elem School           1001005019004000000.00000.50001.25001.25000.00002
5983Nathan Twining Elem-Middle 1000052311156000000.00001.50016.00015.00000.00043
5985Naughton School            9000001004002000000.00000.10001.40000.10000.00002
5999Neche Public School        5000007063019004800.00000.50006.00001.41003.72017
6005Nedrose Elem School        1000024178063000000.00000.50008.76003.49000.00021
6024New 8 Kindergarten School  9000022000000000000.00001.00000.00000.00000.00002
6026New England Public School  5001012104037012000.00000.50006.00001.60007.24018
6031New Leipzig Elem School    1000000044057000000.00000.00003.00005.51000.00012
6033New Salem High School      5000000000052016000.00000.00000.00002.50008.71021
6036Edwin Loe Elem School      1002054324000000000.50002.00018.00000.00000.00030
6039New Town High School       5000000066120019400.00000.00003.14006.42014.56033
6043Newburg-United Public Schoo5000009035018004000.00000.50004.60001.90003.80014
6046Towner Public School       5004013078036008300.00000.50006.00001.56005.30028
6118North Central Public School5000013074040008900.00000.50007.01002.42005.64016
6120Richland Jr-Sr High School 5000000000045010300.00000.00000.00002.00007.53014
6122North Central Public School5000008031019004000.00000.50005.00001.84004.41017
6125North High School          3000000000000093100.00000.00000.00000.00043.80046
6126North Hill Elem School     1013041281000000001.00001.00015.00000.00000.00022
6129Robert Place Miller School 1000067386000000000.00001.50017.00000.00000.00025
6130North Sargent Public School5000016094029006100.15000.50006.00001.72005.71022
6132Northridge Elem School     1000092514000000000.00002.00024.50000.00000.00030
6134Northwood Public School    5000016175058012300.00000.57009.50003.28008.36027
6215Oakes High School          5000000000085019100.00000.00000.00004.44009.20023
6226Oberon Elem School         1000000028004000000.00000.00003.75000.88000.00009
6641Oriska Public School       5000007056009003300.00000.50003.20001.50003.26012
6674Milton-Osnabrock Elem Schoo1000001022000000000.00000.50002.76000.00000.00008
6882Page Public School         5000014062021005900.00000.50006.00001.82004.46018
6915Park River Elem School     1000023193000000000.00000.50011.29000.00000.00021
6923Parshall Elem School       1003027150000000000.79001.00007.00000.00000.00013
6925Parshall High School       5000000000056009400.00000.00000.00003.60005.94015
6982Pembina Public School      5000012073025004100.00000.50006.43000.99003.29016
6990Perkett Elem School        1017039138000000002.00001.00009.00000.00000.00018
7025Pettibone-Tuttle Elem Schoo1000002039000000000.00000.50003.00000.00000.00011
7087Pingree-Buchanan High Schoo5000000000020004300.00000.00000.00002.14004.27006
7090Pioneer Elem School        1000035241000000000.00001.00012.00000.00000.00018
7108Plaza Public School        5001004023012002800.00000.50003.00001.33002.88011
7145Peter Boe Jr Elem School   1000046235000000000.00001.00014.00000.00000.00018
7156Powers Lake Elem School    1000009046000000000.00000.50003.50000.00000.00010
7158Powers Lake High School    5000000000023006700.00000.00000.00001.78005.53010
7172Prairie Elem School        1000008031009000000.00000.50003.00001.00000.00007
7176Prairie View Elem School   1004021165000000000.00000.50008.79000.00000.00017
7178Prairie View Elem School   1009073239000000001.50001.50012.00000.00000.00019
